,pl_name,hostname,discoverymethod,pl_controv_flag,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,pl_orbeccen,pl_orbincl,pl_tranmid,ttv_flag,pl_rvamp,st_spectype,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist,sy_plx,sy_gaiamag,Rhomax
818,HIP 97233 b,HIP 97233,Radial Velocity,0,1058.8,2.55,1.08,20.0,0.61,,,0,320.1,K0,5.34,1.93,19h45m41.31s,296.4221207,-00d41m48.77s,-0.6968794,102.275,9.74888,7.07025,881.3612373911822
819,HR 5183 b,HR 5183,Radial Velocity,0,27000.0,18.0,1.17,3.23,0.84,,2458960.0,0,38.25,G0 V,1.53,1.07,13h46m56.59s,206.7357992,+06d20m59.64s,6.3498994,31.4607,31.7568,6.17464,36782.16555378443
820,HR 810 b,HR 810,Radial Velocity,0,302.79999,0.92,1.19,2.27,0.14,,,0,57.1,G0V,1.13,1.34,02h42m34.01s,40.6417178,-50d47m57.65s,-50.7993484,17.3181,57.7143,5.25587,2881.505686178661
821,IC 4651 9122 b,IC 4651 9122,Radial Velocity,0,734.0,2.038,1.14,6.3,0.18,,,0,89.5,,10.27,2.1,17h24m50.07s,261.2086139,-49d56m56.15s,-49.9489317,859.324,1.13717,10.5336,77.66879858627048
822,K2-111 c,K2-111,Radial Velocity,0,15.6785,0.1166,0.301,0.03555,0.07,,,0,3.27,G2,1.25,0.84,03h59m33.67s,59.8903081,+21d17m54.69s,21.2985263,200.394,4.96259,10.9294,47.22998278207794
823,K2-18 c,K2-18,Radial Velocity,1,8.962,0.06,0.236,0.02363,0.47,,,0,4.63,M2.5 V,0.41,0.36,11h30m14.43s,172.560141,+07d35m16.19s,7.5878315,38.0266,26.2686,12.4154,301.57810970180776
824,KELT-6 c,KELT-6,Radial Velocity,0,1276.0,2.39,1.16,3.71,0.21,,,0,65.7,F8,1.53,1.13,13h03m55.64s,195.9818362,+30d38m24.52s,30.640145,240.726,4.1255,10.1934,605.9137941446853
825,Kapteyn c,Kapteyn,Radial Velocity,0,121.54,0.311,0.227,0.022,0.23,,,0,2.27,M2.0V,0.29,0.28,05h11m50.08s,77.9586613,-45d02m34.87s,-45.0430198,3.93305,254.226,8.06198,19606.362055447968
826,Kepler-129 d,Kepler-129,Radial Velocity,0,2646.0,4.0,1.12,8.3,0.15,,,0,106.0,G4 V,1.65,1.18,19h01m14.68s,285.3111845,+47d50m54.52s,47.8484775,408.845,2.41732,11.6437,563.6362057992118
827,Kepler-19 d,Kepler-19,Radial Velocity,0,62.95,,0.451,0.07079,0.05,,,0,,,0.86,0.94,19h21m41.03s,290.4209694,+37d51m05.96s,37.8516556,218.562,4.54651,11.8763,101.48992923218285
828,Kepler-20 g,Kepler-20,Radial Velocity,0,34.94,0.2055,0.42,0.0628,0.15,,,0,4.1,,0.96,0.95,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.563,3.51026,12.4535,52.64655073531489
829,Kepler-25 d,Kepler-25,Radial Velocity,0,122.4,,0.894,0.226,0.13,,2455715.0,0,9.67,,1.32,1.17,19h06m33.21s,286.6383905,+39d29m16.45s,39.4879038,243.249,4.08224,10.6319,122.77171589924201
830,Kepler-407 c,Kepler-407,Radial Velocity,0,3000.0,,1.1,12.6,,,,0,164.0,,1.01,1.0,19h04m08.71s,286.0363025,+49d36m52.21s,49.6145027,338.368,2.92662,12.5074,826.8826966958726
831,Kepler-424 c,Kepler-424,Radial Velocity,0,223.3,0.73,1.13,6.97,,,,0,246.0,,0.94,1.01,19h54m30.00s,298.6249797,+48d34m38.82s,48.57745,698.646,1.40277,14.229,70.39471816786487
832,Kepler-432 c,Kepler-432,Radial Velocity,0,406.2,,1.18,2.43,0.498,,,0,62.1,,4.06,1.32,19h33m07.74s,293.2822344,+48d17m09.30s,48.2859173,848.023,1.15095,12.1822,72.29729455910693
833,Kepler-454 c,Kepler-454,Radial Velocity,0,523.9,,1.15,4.46,0.0214,,,0,110.44,,1.07,1.03,19h09m54.88s,287.4786474,+38d13m44.67s,38.2290751,230.869,4.3027,11.4395,371.2451989334939
834,Kepler-48 e,Kepler-48,Radial Velocity,0,982.0,,1.19,2.067,,,,0,45.83,,0.89,0.88,19h56m33.43s,299.1393094,+40d56m56.18s,40.948939,306.738,3.23132,13.0772,471.7775971529451
835,Kepler-56 d,Kepler-56,Radial Velocity,0,1002.0,2.16,1.14,5.61,0.2,,,0,95.21,,4.22,1.29,19h35m01.99s,293.7583002,+41d52m18.51s,41.871807,912.994,1.06729,12.4298,124.49056441412932
836,Kepler-65 e,Kepler-65,Radial Velocity,0,258.8,,1.24,0.82,0.283,127.0,2455945.4,0,,,1.44,1.25,19h14m45.29s,288.6887221,+41d09m03.99s,41.1511076,303.728,3.26384,10.9656,154.99000567728214
837,Kepler-68 d,Kepler-68,Radial Velocity,0,634.6,1.4,1.24,0.84007,0.112,,2455878.0,0,17.75,,1.26,1.06,19h24m07.75s,291.0323102,+49d02m24.77s,49.0402129,144.166,6.90758,9.93355,662.7539194780065
838,Kepler-88 d,KOI-142,Radial Velocity,0,1403.0,,1.17,3.05046,0.41,89.0,,0,63.5,G6 V,0.9,0.99,19h24m35.54s,291.1481028,+40d40m09.89s,40.669413,376.863,2.62461,13.1048,450.31578283981
839,Kepler-93 c,Kepler-93,Radial Velocity,0,1460.0,,,3.0,,,,0,60.0,,0.92,0.91,19h25m40.35s,291.4181275,+38d40m20.32s,38.6723124,95.9115,10.3974,9.86249,1922.011481712254
840,Kepler-94 c,Kepler-94,Radial Velocity,0,820.3,,1.11,9.836,,,,0,262.7,M0 V,0.76,0.81,18h44m46.74s,281.1947316,+47d29m50.14s,47.4972606,191.904,5.1821,12.8567,706.8492255962095
841,Kepler-97 c,Kepler-97,Radial Velocity,0,789.0,,,1.08,,,,0,25.0,,0.98,0.94,19h09m18.37s,287.3265292,+48d40m24.04s,48.6733443,400.907,2.46563,12.813,298.54386138319853
842,L 98-59 e,L 98-59,Radial Velocity,0,12.796,0.0717,0.139,0.00963,0.128,,,0,2.01,M3 V,0.3,0.27,08h18m07.89s,124.5328604,-68d18m52.08s,-68.3144658,10.6194,94.1385,10.5976,1658.7948706852833
843,LSPM J2116+0234 b,LSPM J2116+0234,Radial Velocity,0,14.4399,0.0876,0.331,0.04185,0.183,,2457573.6,0,6.26,M3.0 V,0.43,0.43,21h16m27.54s,319.1147513,+02d34m50.78s,2.5807711,17.6297,56.6935,10.8595,794.1537357699333
845,NGC 2682 Sand 978 b,NGC 2682 Sand 978,Radial Velocity,0,511.21,,1.19,2.18,0.16,,,0,45.48,K4 III,21.02,1.37,08h51m17.47s,132.8228085,+11d45m22.67s,11.7562959,821.918,1.18764,9.25286,84.82223455364213
851,Pr0211 c,Pr0211,Radial Velocity,0,4850.0,5.5,1.12,7.79,0.71,,,0,138.0,,0.83,0.94,08h42m11.46s,130.547744,+19d16m37.05s,19.276957,182.714,5.44431,11.9281,2198.145570698711
852,Proxima Cen b,Proxima Cen,Radial Velocity,0,11.186,0.0485,0.096,0.004,0.35,,,0,1.38,M5.5 V,0.14,0.12,14h29m34.43s,217.3934657,-62d40m34.26s,-62.6761821,1.30119,768.5,8.95361,21252.3689868111
853,Ross 128 b,Ross 128,Radial Velocity,0,9.8658,0.0496,0.099,0.0044,0.116,,,0,1.39,M4,0.2,0.17,11h47m45.02s,176.9376036,+00d47m57.44s,0.7992898,3.37454,296.307,9.59067,5974.845716968185
854,TAP 26 b,TAP 26,Radial Velocity,0,10.79,0.0968,1.2,1.66,,,,0,149.0,,1.17,1.04,04h18m51.71s,64.715445,+17d23m16.38s,17.3878826,121.402,8.20837,11.8101,52.705011696744165
855,TOI-1444 c,TOI-1444,Radial Velocity,0,16.066,,0.309,0.03713,0.0,,,0,3.12,,0.91,0.93,20h21m53.98s,305.4749252,+70d56m37.34s,70.9437054,125.463,7.94156,10.6417,71.64511102700371
856,TOI-431 c,TOI-431,Radial Velocity,0,4.8494,0.052,0.133,0.0089,0.0,86.35,2458625.9,0,1.23,,0.73,0.78,05h33m04.62s,83.2692502,-26d43m25.93s,-26.7238698,32.5686,30.6754,8.79171,139.6418300997057
